channel,t,amplitude
Bearing A,3.225,0.88343
Bearing A,3.226,0.533766
Bearing A,3.227,0.859809
Bearing A,3.228,0.910837
Bearing A,3.229,0.675989
Bearing A,3.23,0.762264
Bearing A,3.231,0.511761
Bearing A,3.232,-0.129245
Bearing A,3.233,-1.141307
Bearing A,3.234,-1.572239
Bearing A,3.235,-1.809528
Bearing A,3.236,-1.09802
Bearing A,3.237,-0.792723
Bearing A,3.238,-0.120759
Bearing A,3.239,0.259715
Bearing A,3.24,0.568929
Bearing A,3.241,0.957775
Bearing A,3.242,1.166456
Bearing A,3.243,1.636241
Bearing A,3.244,1.320897
Bearing A,3.245,0.798955
Bearing A,3.246,0.755993
Bearing A,3.247,0.469494
Bearing A,3.248,0.577208
Bearing A,3.249,0.645186
Bearing A,3.25,0.295501
Bearing A,3.251,0.221815
Bearing A,3.252,-0.322265
Bearing A,3.253,-1.079341
Bearing A,3.254,-1.469711
Bearing A,3.255,-1.98997
Bearing A,3.256,-1.301665
Bearing A,3.257,-0.981454
Bearing A,3.258,-0.174969
Bearing A,3.259,-0.044328
Bearing A,3.26,-0.017956
Bearing A,3.261,0.233995
Bearing A,3.262,0.65482
Bearing A,3.263,0.81752
Bearing A,3.264,0.88351
Bearing A,3.265,0.611267
Bearing A,3.266,0.286801
Bearing A,3.267,0.15293
Bearing A,3.268,0.191276
Bearing A,3.269,0.7086
Bearing A,3.27,0.312963
Bearing A,3.271,-0.038077
Bearing A,3.272,-0.551772
Bearing A,3.273,-1.38707
Bearing A,3.274,-2.077181
Bearing A,3.275,-2.345781
Bearing A,3.276,-1.800522
Bearing A,3.277,-1.151153
Bearing A,3.278,-0.95321
Bearing A,3.279,-0.35536
Bearing A,3.28,-0.372879
Bearing A,3.281,0.079064
Bearing A,3.282,0.130385
Bearing A,3.283,0.523969
Bearing A,3.284,0.6303
Bearing A,3.285,0.47985
Bearing A,3.286,0.097691
Bearing A,3.287,-0.150883
Bearing A,3.288,0.03769
Bearing A,3.289,0.559549
Bearing A,3.29,0.44016
Bearing A,3.291,0.029889
Bearing A,3.292,-0.538017
Bearing A,3.293,-0.935508
Bearing A,3.294,-1.66603
Bearing A,3.295,-1.637727
Bearing A,3.296,-1.150269
Bearing A,3.297,-0.67877
Bearing A,3.298,-0.365694
Bearing A,3.299,-0.385938
Bearing A,3.3,0.259499
Bearing A,3.301,0.245591
Bearing A,3.302,0.590702
Bearing A,3.303,0.783379
Bearing A,3.304,1.173432
Bearing A,3.305,1.013964
Bearing A,3.306,0.63174
Bearing A,3.307,0.700304
Bearing A,3.308,0.30367
Bearing A,3.309,0.528623
Bearing A,3.31,0.371388
Bearing A,3.311,0.124273
Bearing A,3.312,-0.770378
Bearing A,3.313,-1.219161
Bearing A,3.314,-2.019583
Bearing A,3.315,-1.895139
Bearing A,3.316,-1.462543
Bearing A,3.317,-1.018027
Bearing A,3.318,-0.361852
Bearing A,3.319,-0.031709
Bearing A,3.32,0.384862
Bearing A,3.321,0.283222
Bearing A,3.322,0.533572
Bearing A,3.323,0.5179
Bearing A,3.324,0.644789
Bearing A,3.325,0.594429
Bearing A,3.326,0.269854
Bearing A,3.327,-0.232226
Bearing A,3.328,-0.070084
Bearing A,3.329,0.205859
Bearing A,3.33,0.223808
Bearing A,3.331,-0.098802
Bearing A,3.332,-0.565446
Bearing A,3.333,-1.757519
Bearing A,3.334,-2.247586
Bearing A,3.335,-2.271676
Bearing A,3.336,-1.547509
Bearing A,3.337,-1.152499
Bearing A,3.338,-0.914024
Bearing A,3.339,-0.371377
Bearing A,3.34,-0.309925
Bearing A,3.341,-0.151633
Bearing A,3.342,-0.003545
Bearing A,3.343,0.669832
Bearing A,3.344,0.559555
Bearing A,3.345,0.456387
Bearing A,3.346,0.068508
Bearing A,3.347,-0.216519
Bearing A,3.348,0.132858
Bearing A,3.349,0.384981
Bearing A,3.35,0.724234
Bearing A,3.351,0.250564
Bearing A,3.352,-0.618547
Bearing A,3.353,-1.261119
Bearing A,3.354,-2.00766
Bearing A,3.355,-1.970775
Bearing A,3.356,-2.007533
Bearing A,3.357,-1.441621
Bearing A,3.358,-0.628037
Bearing A,3.359,-0.497097
Bearing A,3.36,-0.313043
Bearing A,3.361,-0.087967
Bearing A,3.362,0.541852
Bearing A,3.363,0.659987
Bearing A,3.364,1.057226
Bearing A,3.365,0.633113
Bearing A,3.366,0.42423
Bearing A,3.367,0.431479
Bearing A,3.368,0.281288
Bearing A,3.369,0.482147
Bearing A,3.37,0.540921
Bearing A,3.371,0.395532
Bearing A,3.372,-0.494041
Bearing A,3.373,-1.344
Bearing A,3.374,-1.352614
Bearing A,3.375,-1.453705
Bearing A,3.376,-0.982076
Bearing A,3.377,-0.377356
Bearing A,3.378,0.168763
Bearing A,3.379,-0.165483
Bearing A,3.38,-0.148676
Bearing A,3.381,0.067964
Bearing A,3.382,0.306904
Bearing A,3.383,0.375721
Bearing A,3.384,0.83402
Bearing A,3.385,0.593411
Bearing A,3.386,0.348957
Bearing A,3.387,-0.102774
Bearing A,3.388,0.057699
Bearing A,3.389,0.122952
Bearing A,3.39,0.207881
Bearing A,3.391,0.331445
Bearing A,3.392,-0.253436
Bearing A,3.393,-1.3593
Bearing A,3.394,-2.040172
Bearing A,3.395,-2.200662
Bearing A,3.396,-1.284923
Bearing A,3.397,-0.811054
Bearing A,3.398,-0.391964
Bearing A,3.399,-0.283616
Bearing A,3.4,-0.332418
Bearing A,3.401,0.177026
Bearing A,3.402,0.523765
Bearing A,3.403,0.691566
Bearing A,3.404,0.644805
Bearing A,3.405,0.542354
Bearing A,3.406,0.356948
Bearing A,3.407,0.579936
Bearing A,3.408,0.080752
Bearing A,3.409,0.354839
Bearing A,3.41,0.627773
Bearing A,3.411,0.040839
Bearing A,3.412,-0.659045
Bearing A,3.413,-0.949896
Bearing A,3.414,-1.328045
Bearing A,3.415,-1.516133
Bearing A,3.416,-0.974781
Bearing A,3.417,-0.313224
Bearing A,3.418,0.050539
Bearing A,3.419,0.327376
Bearing A,3.42,0.49429
Bearing A,3.421,0.742761
Bearing A,3.422,0.932408
Bearing A,3.423,0.8856
Bearing A,3.424,0.619379
Bearing A,3.425,0.780958
Bearing A,3.426,0.443951
Bearing A,3.427,0.1365
Bearing A,3.428,0.475434
Bearing A,3.429,0.364319
Bearing A,3.43,0.879235
Bearing A,3.431,0.106209
Bearing A,3.432,-0.848549
Bearing A,3.433,-1.508049
Bearing A,3.434,-2.076009
Bearing A,3.435,-2.077773
Bearing A,3.436,-1.790565
Bearing A,3.437,-0.866427
Bearing A,3.438,-0.320797
Bearing A,3.439,-0.154612
Bearing A,3.44,-0.008416
Bearing A,3.441,-0.165102
Bearing A,3.442,0.363245
Bearing A,3.443,0.529808
Bearing A,3.444,0.301365
Bearing A,3.445,0.148624
Bearing A,3.446,0.358983
Bearing A,3.447,0.168966
Bearing A,3.448,0.283264
Bearing A,3.449,0.392979
Bearing A,3.45,0.461299
Bearing A,3.451,-0.488258
Bearing A,3.452,-0.642978
Bearing A,3.453,-1.27711
Bearing A,3.454,-2.1489
Bearing A,3.455,-1.78709
Bearing A,3.456,-1.402259
Bearing A,3.457,-0.998443
Bearing A,3.458,-0.368896
Bearing A,3.459,0.136172
Bearing A,3.46,-0.071231
Bearing A,3.461,0.175238
Bearing A,3.462,0.583277
Bearing A,3.463,0.706966
Bearing A,3.464,0.846715
Bearing A,3.465,0.679716
Bearing A,3.466,0.630839
Bearing A,3.467,0.526922
Bearing A,3.468,0.500663
Bearing A,3.469,0.668766
Bearing A,3.47,0.803675
Bearing A,3.471,0.449914
Bearing A,3.472,-0.422385
Bearing A,3.473,-1.515201
Bearing A,3.474,-2.093715
Bearing A,3.475,-1.901438
Bearing A,3.476,-1.773306
Bearing A,3.477,-0.6916
Bearing A,3.478,-0.497739
Bearing A,3.479,-0.401203
Bearing A,3.48,-0.201422
Bearing A,3.481,0.030939
Bearing A,3.482,0.740598
Bearing A,3.483,0.758463
Bearing A,3.484,1.188843
Bearing A,3.485,0.879669
Bearing A,3.486,0.409764
Bearing A,3.487,0.045585
Bearing A,3.488,0.160475
Bearing A,3.489,0.602706
Bearing A,3.49,0.575165
Bearing A,3.491,0.297925
Bearing A,3.492,-0.533359
Bearing A,3.493,-0.950639
Bearing A,3.494,-1.74432
Bearing A,3.495,-2.074434
Bearing A,3.496,-1.441943
Bearing A,3.497,-0.513536
Bearing A,3.498,-0.326427
Bearing A,3.499,-0.034008
Bearing A,3.5,-0.147952
Bearing A,3.501,0.147087
Bearing A,3.502,0.489761
Bearing A,3.503,1.036947
Bearing A,3.504,1.087322
Bearing A,3.505,0.742707
Bearing A,3.506,0.557241
Bearing A,3.507,0.028467
Bearing A,3.508,0.493167
Bearing A,3.509,0.712999
Bearing A,3.51,0.690176
Bearing A,3.511,0.215244
Bearing A,3.512,-0.144556
Bearing A,3.513,-0.959116
Bearing A,3.514,-1.624855
Bearing A,3.515,-1.496754
Bearing A,3.516,-1.432351
Bearing A,3.517,-0.842107
Bearing A,3.518,-0.071142
Bearing A,3.519,0.200261
Bearing A,3.52,0.448616
Bearing A,3.521,0.346376
Bearing A,3.522,0.229245
Bearing A,3.523,0.399109
Bearing A,3.524,0.564131
Bearing A,3.525,0.622306
Bearing A,3.526,0.254971
Bearing A,3.527,0.113079
Bearing A,3.528,0.36852
Bearing A,3.529,0.798769
Bearing A,3.53,0.787842
Bearing A,3.531,0.419206
Bearing A,3.532,-0.43104
Bearing A,3.533,-1.099597
Bearing A,3.534,-1.795035
Bearing A,3.535,-1.831177
Bearing A,3.536,-1.202757
Bearing A,3.537,-0.51097
Bearing A,3.538,-0.160173
Bearing A,3.539,0.101096
Bearing A,3.54,0.311756
Bearing A,3.541,0.424561
Bearing A,3.542,0.852932
Bearing A,3.543,1.316865
Bearing A,3.544,1.298843
Bearing A,3.545,1.113552
Bearing A,3.546,0.382273
Bearing A,3.547,0.368944
Bearing A,3.548,0.570475
Bearing A,3.549,0.692354
Bearing A,3.55,0.90855
Bearing A,3.551,0.170274
Bearing A,3.552,-0.441791
Bearing A,3.553,-1.16173
Bearing A,3.554,-2.00979
Bearing A,3.555,-1.817487
Bearing A,3.556,-1.620945
Bearing A,3.557,-1.10937
Bearing A,3.558,-0.763635
Bearing A,3.559,-0.256603
Bearing A,3.56,-0.193583
Bearing A,3.561,0.13887
Bearing A,3.562,0.458186
Bearing A,3.563,0.53135
Bearing A,3.564,0.731006
Bearing A,3.565,0.57062
Bearing A,3.566,0.14042
Bearing A,3.567,0.486428
Bearing A,3.568,0.385641
Bearing A,3.569,0.478527
Bearing A,3.57,0.136392
Bearing A,3.571,-0.023326
Bearing A,3.572,-0.420874
Bearing A,3.573,-1.066446
Bearing A,3.574,-1.439217
Bearing A,3.575,-1.769284
Bearing A,3.576,-1.460881
Bearing A,3.577,-0.865683
Bearing A,3.578,-0.292694
Bearing A,3.579,-0.173806
Bearing A,3.58,0.019572
Bearing A,3.581,0.230858
Bearing A,3.582,0.676402
Bearing A,3.583,0.60693
Bearing A,3.584,0.698187
Bearing A,3.585,0.763403
Bearing A,3.586,0.286212
Bearing A,3.587,0.352027
Bearing A,3.588,0.383305
Bearing A,3.589,0.60522
Bearing A,3.59,0.391086
Bearing A,3.591,0.123154
Bearing A,3.592,-0.304393
Bearing A,3.593,-1.249488
Bearing A,3.594,-1.56724
Bearing A,3.595,-1.781911
Bearing A,3.596,-1.613228
Bearing A,3.597,-0.983158
Bearing A,3.598,-0.611638
Bearing A,3.599,-0.651067
Bearing A,3.6,-0.373071
Bearing A,3.601,-0.07318
Bearing A,3.602,0.260008
Bearing A,3.603,0.238124
Bearing A,3.604,0.4615
Bearing A,3.605,0.710187
Bearing A,3.606,0.378575
Bearing A,3.607,0.000629
Bearing A,3.608,0.19096
Bearing A,3.609,0.41521
Bearing A,3.61,0.40226
Bearing A,3.611,-0.106374
Bearing A,3.612,-0.744865
Bearing A,3.613,-1.13006
Bearing A,3.614,-1.769715
Bearing A,3.615,-2.162557
Bearing A,3.616,-1.55182
Bearing A,3.617,-1.050754
Bearing A,3.618,-0.384192
Bearing A,3.619,-0.088085
Bearing A,3.62,-0.326685
Bearing A,3.621,-0.066879
Bearing A,3.622,0.254611
Bearing A,3.623,0.421066
Bearing A,3.624,0.816102
Bearing A,3.625,0.470432
Bearing A,3.626,0.218795
Bearing A,3.627,0.075745
Bearing A,3.628,0.324794
Bearing A,3.629,0.488743
Bearing A,3.63,0.443552
Bearing A,3.631,-0.167144
Bearing A,3.632,-0.732285
Bearing A,3.633,-1.759565
Bearing A,3.634,-2.122759
Bearing A,3.635,-2.100961
Bearing A,3.636,-1.541863
Bearing A,3.637,-0.881325
Bearing A,3.638,-0.512506
Bearing A,3.639,-0.124246
Bearing A,3.64,0.098263
Bearing A,3.641,0.260306
Bearing A,3.642,0.906225
Bearing A,3.643,0.918984
Bearing A,3.644,0.466971
Bearing A,3.645,0.422296
Bearing A,3.646,0.147401
Bearing A,3.647,0.061229
Bearing A,3.648,0.628963
Bearing A,3.649,0.988903
Bearing A,3.65,0.566867
Bearing A,3.651,0.20641
Bearing A,3.652,-0.366189
Bearing A,3.653,-0.996649
Bearing A,3.654,-1.347204
Bearing A,3.655,-1.99981
Bearing A,3.656,-1.489993
Bearing A,3.657,-0.843191
Bearing A,3.658,-0.640672
Bearing A,3.659,-0.280473
Bearing A,3.66,-0.172605
Bearing A,3.661,0.167968
Bearing A,3.662,0.558937
Bearing A,3.663,0.402051
Bearing A,3.664,0.414163
Bearing A,3.665,0.926573
Bearing A,3.666,0.345293
Bearing A,3.667,0.426094
Bearing A,3.668,0.465372
Bearing A,3.669,0.253031
Bearing A,3.67,-0.015749
Bearing A,3.671,-0.613426
Bearing A,3.672,-0.627561
Bearing A,3.673,-1.494321
Bearing A,3.674,-2.10568
Bearing A,3.675,-1.99489
Bearing A,3.676,-1.512508
Bearing A,3.677,-1.038027
Bearing A,3.678,-0.648187
Bearing A,3.679,-0.16788
Bearing A,3.68,0.363136
Bearing A,3.681,0.491629
Bearing A,3.682,0.33015
Bearing A,3.683,0.854878
Bearing A,3.684,0.674148
Bearing A,3.685,0.504171
Bearing A,3.686,0.428231
Bearing A,3.687,0.592059
Bearing A,3.688,0.74852
Bearing A,3.689,0.882789
Bearing A,3.69,0.916979
Bearing A,3.691,0.670616
Bearing A,3.692,-0.652213
Bearing A,3.693,-1.307096
Bearing A,3.694,-1.653716
Bearing A,3.695,-1.796484
Bearing A,3.696,-1.523728
Bearing A,3.697,-1.147421
Bearing A,3.698,-0.536645
Bearing A,3.699,-0.061964
Bearing A,3.7,-0.094694
Bearing A,3.701,0.190322
Bearing A,3.702,0.182527
Bearing A,3.703,0.373701
Bearing A,3.704,0.406906
Bearing A,3.705,0.332162
Bearing A,3.706,0.379558
Bearing A,3.707,0.624551
Bearing A,3.708,0.449222
Bearing A,3.709,0.212298
Bearing A,3.71,0.692782
Bearing A,3.711,0.532654
Bearing A,3.712,-0.299638
Bearing A,3.713,-1.289964
Bearing A,3.714,-1.808151
Bearing A,3.715,-1.744583
Bearing A,3.716,-1.283834
Bearing A,3.717,-0.178256
Bearing A,3.718,0.298578
Bearing A,3.719,0.55775
Bearing A,3.72,0.590137
Bearing A,3.721,0.566145
Bearing A,3.722,0.833164
Bearing A,3.723,1.113092
Bearing A,3.724,1.429583
Bearing A,3.725,0.898804
Bearing A,3.726,0.702716
Bearing A,3.727,0.730581
Bearing A,3.728,0.724829
Bearing A,3.729,0.827184
Bearing A,3.73,1.080046
Bearing A,3.731,0.975284
Bearing A,3.732,0.143585
Bearing A,3.733,-0.718109
Bearing A,3.734,-1.648759
Bearing A,3.735,-1.496113
Bearing A,3.736,-0.621107
Bearing A,3.737,-0.291679
Bearing A,3.738,-0.045475
Bearing A,3.739,0.09056
Bearing A,3.74,0.344093
Bearing A,3.741,0.352259
Bearing A,3.742,0.64215
Bearing A,3.743,1.256156
Bearing A,3.744,1.191114
Bearing A,3.745,0.892089
Bearing A,3.746,0.542464
Bearing A,3.747,0.225158
Bearing A,3.748,0.188346
Bearing A,3.749,0.000188
Bearing A,3.75,0.21574
Bearing A,3.751,0.451626
Bearing A,3.752,-0.10321
Bearing A,3.753,-0.933479
Bearing A,3.754,-1.294437
Bearing A,3.755,-1.620119
Bearing A,3.756,-1.186338
Bearing A,3.757,-0.647349
Bearing A,3.758,-0.201129
Bearing A,3.759,-0.041885
Bearing A,3.76,0.313039
Bearing A,3.761,0.683077
Bearing A,3.762,0.264234
Bearing A,3.763,0.716559
Bearing A,3.764,0.633823
Bearing A,3.765,0.475154
Bearing A,3.766,0.320426
Bearing A,3.767,0.280342
Bearing A,3.768,0.417842
Bearing A,3.769,0.190354
Bearing A,3.77,0.608424
Bearing A,3.771,0.018139
Bearing A,3.772,-0.642719
Bearing A,3.773,-1.456448
Bearing A,3.774,-1.741641
Bearing A,3.775,-1.817252
Bearing A,3.776,-1.233499
Bearing A,3.777,-0.497297
Bearing A,3.778,-0.030056
Bearing A,3.779,-0.301726
Bearing A,3.78,0.323188
Bearing A,3.781,0.68455
Bearing A,3.782,0.710519
Bearing A,3.783,0.904435
Bearing A,3.784,0.542279
Bearing A,3.785,0.661353
Bearing A,3.786,0.618409
Bearing A,3.787,0.362079
Bearing A,3.788,0.345293
Bearing A,3.789,0.521149
Bearing A,3.79,0.637085
Bearing A,3.791,0.698974
Bearing A,3.792,-0.068685
Bearing A,3.793,-0.562296
Bearing A,3.794,-1.307793
Bearing A,3.795,-1.360715
Bearing A,3.796,-1.026677
Bearing A,3.797,-0.388232
Bearing A,3.798,0.341725
Bearing A,3.799,0.33116
Bearing A,3.8,0.284191
Bearing A,3.801,0.598938
Bearing A,3.802,0.915705
Bearing A,3.803,1.187129
Bearing A,3.804,1.31977
Bearing A,3.805,1.226916
Bearing A,3.806,0.941586
Bearing A,3.807,0.764986
Bearing A,3.808,0.743515
Bearing A,3.809,0.776763
Bearing A,3.81,0.947825
Bearing A,3.811,0.825414
Bearing A,3.812,0.128339
Bearing A,3.813,-0.900432
Bearing A,3.814,-1.436218
Bearing A,3.815,-1.511559
Bearing A,3.816,-1.219048
Bearing A,3.817,-0.359563
Bearing A,3.818,0.318364
Bearing A,3.819,0.574427
Bearing A,3.82,0.633117
Bearing A,3.821,0.606071
Bearing A,3.822,1.137504
Bearing A,3.823,1.107085
Bearing A,3.824,1.056239
Bearing A,3.825,0.966702
Bearing A,3.826,0.741838
Bearing A,3.827,0.325283
Bearing A,3.828,0.628357
Bearing A,3.829,0.830303
Bearing A,3.83,0.964051
Bearing A,3.831,0.625926
Bearing A,3.832,-0.342236
Bearing A,3.833,-1.155364
Bearing A,3.834,-1.795272
Bearing A,3.835,-1.524599
Bearing A,3.836,-1.194417
Bearing A,3.837,-0.935963
Bearing A,3.838,-0.351407
Bearing A,3.839,0.309814
Bearing A,3.84,0.414889
Bearing A,3.841,0.453876
Bearing A,3.842,0.667994
Bearing A,3.843,0.946997
Bearing A,3.844,0.964343
Bearing A,3.845,0.777333
Bearing A,3.846,0.56678
Bearing A,3.847,0.358016
Bearing A,3.848,0.341358
Bearing A,3.849,0.981774
Bearing A,3.85,0.884707
Bearing A,3.851,0.174613
Bearing A,3.852,-0.318928
Bearing A,3.853,-0.985912
Bearing A,3.854,-1.656229
Bearing A,3.855,-2.037291
Bearing A,3.856,-1.677522
Bearing A,3.857,-0.719281
Bearing A,3.858,-0.29193
Bearing A,3.859,-0.120066
Bearing A,3.86,0.116571
Bearing A,3.861,0.008706
Bearing A,3.862,0.750823
Bearing A,3.863,0.962678
Bearing A,3.864,0.980715
Bearing A,3.865,1.252765
Bearing A,3.866,0.681154
Bearing A,3.867,0.381155
Bearing A,3.868,0.617558
Bearing A,3.869,0.794535
Bearing A,3.87,0.756397
Bearing A,3.871,0.654658
Bearing A,3.872,0.256711
Bearing A,3.873,-0.58928
Bearing A,3.874,-1.076399
Bearing A,3.875,-1.150875
Bearing A,3.876,-0.838024
Bearing A,3.877,-0.086656
Bearing A,3.878,0.403382
Bearing A,3.879,0.985337
Bearing A,3.88,0.766582
Bearing A,3.881,0.847664
Bearing A,3.882,1.319132
Bearing A,3.883,1.64963
Bearing A,3.884,1.040036
Bearing A,3.885,1.052459
Bearing A,3.886,1.000321
Bearing A,3.887,0.90058
Bearing A,3.888,0.711222
Bearing A,3.889,1.378201
Bearing A,3.89,1.308521
Bearing A,3.891,0.891203
Bearing A,3.892,0.244974
Bearing A,3.893,-0.92079
Bearing A,3.894,-1.596755
Bearing A,3.895,-1.350095
Bearing A,3.896,-1.335589
Bearing A,3.897,-0.672635
Bearing A,3.898,-0.164354
Bearing A,3.899,0.157869
Bearing A,3.9,0.466445
Bearing A,3.901,0.859478
Bearing A,3.902,1.170311
Bearing A,3.903,1.085391
Bearing A,3.904,1.335578
Bearing A,3.905,1.152128
Bearing A,3.906,1.026828
Bearing A,3.907,0.855225
Bearing A,3.908,0.595521
Bearing A,3.909,1.019193
Bearing A,3.91,0.962018
Bearing A,3.911,0.852535
Bearing A,3.912,0.219889
Bearing A,3.913,-0.463403
Bearing A,3.914,-1.037632
Bearing A,3.915,-1.191505
Bearing A,3.916,-0.990426
Bearing A,3.917,-0.355466
Bearing A,3.918,0.280753
Bearing A,3.919,0.433996
Bearing A,3.92,0.639277
Bearing A,3.921,0.586325
Bearing A,3.922,0.622631
Bearing A,3.923,0.807107
Bearing A,3.924,1.300283
Bearing A,3.925,0.924579
Bearing A,3.926,0.511019
Bearing A,3.927,0.853987
Bearing A,3.928,0.791353
Bearing A,3.929,1.490001
Bearing A,3.93,1.382705
Bearing A,3.931,0.701812
Bearing A,3.932,-0.373833
Bearing A,3.933,-0.393774
Bearing A,3.934,-1.266136
Bearing A,3.935,-0.986274
Bearing A,3.936,-0.699133
Bearing A,3.937,-0.025022
Bearing A,3.938,0.161243
Bearing A,3.939,0.661781
Bearing A,3.94,0.787249
Bearing A,3.941,1.103446
Bearing A,3.942,1.065502
Bearing A,3.943,1.391449
Bearing A,3.944,1.608453
Bearing A,3.945,1.087046
Bearing A,3.946,0.814146
Bearing A,3.947,0.717031
Bearing A,3.948,0.815161
Bearing A,3.949,1.202514
Bearing A,3.95,1.022799
Bearing A,3.951,0.805747
Bearing A,3.952,0.095153
Bearing A,3.953,-0.887242
Bearing A,3.954,-1.030838
Bearing A,3.955,-1.235137
Bearing A,3.956,-0.951602
Bearing A,3.957,-0.353712
Bearing A,3.958,0.032268
Bearing A,3.959,0.049493
Bearing A,3.96,0.113255
Bearing A,3.961,0.728402
Bearing A,3.962,0.962625
Bearing A,3.963,1.308555
Bearing A,3.964,1.329413
Bearing A,3.965,1.176499
Bearing A,3.966,0.935244
Bearing A,3.967,0.616152
Bearing A,3.968,0.778574
Bearing A,3.969,0.827
Bearing A,3.97,1.199277
Bearing A,3.971,0.554977
Bearing A,3.972,-0.320313
Bearing A,3.973,-0.976183
Bearing A,3.974,-1.560187
Bearing A,3.975,-1.731793
Bearing A,3.976,-0.868602
Bearing A,3.977,-0.408901
Bearing A,3.978,-0.13794
Bearing A,3.979,-0.106452
Bearing A,3.98,0.542901
Bearing A,3.981,0.751075
Bearing A,3.982,0.970083
Bearing A,3.983,1.263583
Bearing A,3.984,1.187656
Bearing A,3.985,0.743522
Bearing A,3.986,0.419021
Bearing A,3.987,0.339353
Bearing A,3.988,0.232579
Bearing A,3.989,0.229001
Bearing A,3.99,0.414029
Bearing A,3.991,0.719705
Bearing A,3.992,-0.137564
Bearing A,3.993,-1.02793
Bearing A,3.994,-1.465133
Bearing A,3.995,-1.661922
Bearing A,3.996,-1.232788
Bearing A,3.997,-0.835023
Bearing A,3.998,-0.59718
Bearing A,3.999,-0.567756
Bearing A,4.0,-0.074612
Bearing A,4.001,0.188204
Bearing A,4.002,0.4233
Bearing A,4.003,0.779424
Bearing A,4.004,0.914433
Bearing A,4.005,0.259329
Bearing A,4.006,-0.003573
Bearing A,4.007,0.099361
Bearing A,4.008,0.531051
Bearing A,4.009,0.71497
Bearing A,4.01,0.66304
Bearing A,4.011,0.542783
Bearing A,4.012,0.079812
Bearing A,4.013,-0.877234
Bearing A,4.014,-1.582624
Bearing A,4.015,-1.796433
Bearing A,4.016,-1.4241
Bearing A,4.017,-0.505215
Bearing A,4.018,0.331743
Bearing A,4.019,0.159329
Bearing A,4.02,0.515556
Bearing A,4.021,0.757633
Bearing A,4.022,1.086638
Bearing A,4.023,0.975765
Bearing A,4.024,1.397955
Bearing A,4.025,1.37775
Bearing A,4.026,1.039221
Bearing A,4.027,0.782224
Bearing A,4.028,0.740206
Bearing A,4.029,0.637324
Bearing A,4.03,0.60878
Bearing A,4.031,0.724847
Bearing A,4.032,-0.002008
Bearing A,4.033,-0.958682
Bearing A,4.034,-1.099513
Bearing A,4.035,-1.400962
Bearing A,4.036,-0.896785
Bearing A,4.037,-0.527885
Bearing A,4.038,-0.261733
Bearing A,4.039,0.043863
Bearing A,4.04,0.00796
Bearing A,4.041,0.601738
Bearing A,4.042,0.679128
Bearing A,4.043,1.258602
Bearing A,4.044,1.090314
Bearing A,4.045,1.11908
Bearing A,4.046,0.779608
Bearing A,4.047,0.678867
Bearing A,4.048,0.377818
Bearing A,4.049,0.567766
Bearing A,4.05,0.77447
Bearing A,4.051,0.439272
Bearing A,4.052,0.039836
Bearing A,4.053,-0.706345
Bearing A,4.054,-1.580688
Bearing A,4.055,-1.392596
Bearing A,4.056,-1.102699
Bearing A,4.057,-0.594968
Bearing A,4.058,-0.075721
Bearing A,4.059,0.155167
Bearing A,4.06,0.410299
Bearing A,4.061,0.828125
Bearing A,4.062,0.928189
Bearing A,4.063,1.13467
Bearing A,4.064,1.421919
Bearing A,4.065,1.134243
Bearing A,4.066,1.102135
Bearing A,4.067,0.75097
Bearing A,4.068,0.90496
Bearing A,4.069,1.045241
Bearing A,4.07,0.794211
Bearing A,4.071,0.506084
Bearing A,4.072,0.033703
Bearing A,4.073,-0.6412
Bearing A,4.074,-1.062086
Bearing A,4.075,-1.240241
Bearing A,4.076,-0.843172
Bearing A,4.077,-0.366616
Bearing A,4.078,-0.16284
Bearing A,4.079,0.166179
Bearing A,4.08,0.298605
Bearing A,4.081,0.358447
Bearing A,4.082,0.715449
Bearing A,4.083,1.336632
Bearing A,4.084,1.09644
Bearing A,4.085,1.07135
Bearing A,4.086,0.716432
Bearing A,4.087,0.484108
Bearing A,4.088,0.451072
Bearing A,4.089,0.654902
Bearing A,4.09,0.43641
Bearing A,4.091,0.282559
Bearing A,4.092,-0.459406
Bearing A,4.093,-1.091893
Bearing A,4.094,-1.427975
Bearing A,4.095,-1.282726
Bearing B,0.0,-0.786519
Bearing B,0.001,-1.050833
Bearing B,0.002,-1.097697
Bearing B,0.003,-1.170866
Bearing B,0.004,-0.885202
Bearing B,0.005,-0.459504
Bearing B,0.006,-0.40386
Bearing B,0.007,-0.137738
Bearing B,0.008,0.329684
Bearing B,0.009,0.905518
Bearing B,0.01,1.7281
Bearing B,0.011,1.771132
Bearing B,0.012,1.67439
Bearing B,0.013,1.201093
Bearing B,0.014,0.822397
Bearing B,0.015,0.095154
Bearing B,0.016,-0.023885
Bearing B,0.017,0.004357
Bearing B,0.018,0.104214
Bearing B,0.019,0.04204
Bearing B,0.02,0.1133
Bearing B,0.021,-0.595615
Bearing B,0.022,-1.004755
Bearing B,0.023,-1.093217
Bearing B,0.024,-0.743924
Bearing B,0.025,-0.450888
Bearing B,0.026,-0.123441
Bearing B,0.027,0.249073
Bearing B,0.028,0.183344
Bearing B,0.029,1.116056
Bearing B,0.03,1.674185
Bearing B,0.031,2.04788
Bearing B,0.032,1.640511
Bearing B,0.033,0.736287
Bearing B,0.034,0.352764
Bearing B,0.035,0.022926
Bearing B,0.036,-0.1087
