model,seed,epoch,split,loss,accuracy,lr
ResNet-50,4,27,train,0.2697,0.87893,0.0003
ResNet-50,4,28,train,0.24673,0.87346,0.0003
ResNet-50,4,29,train,0.22324,0.89047,0.0003
ResNet-50,4,30,train,0.19167,0.90173,0.0003
ResNet-50,4,31,train,0.19496,0.8943,0.0003
ResNet-50,4,32,train,0.15019,0.89363,0.0003
ResNet-50,4,33,train,0.1498,0.90012,0.0003
ResNet-50,4,34,train,0.16184,0.90359,0.0003
ResNet-50,4,35,train,0.13562,0.90532,0.0003
ResNet-50,4,36,train,0.13929,0.91039,0.0003
ResNet-50,4,37,train,0.10666,0.91775,0.0003
ResNet-50,4,38,train,0.09992,0.92464,0.0003
ResNet-50,4,39,train,0.09113,0.91968,0.0003
ResNet-50,4,40,train,0.09952,0.93069,0.0001
ResNet-50,4,41,train,0.12287,0.92467,0.0001
ResNet-50,4,42,train,0.10401,0.92885,0.0001
ResNet-50,4,43,train,0.07304,0.93054,0.0001
ResNet-50,4,44,train,0.0775,0.91576,0.0001
ResNet-50,4,45,train,0.09415,0.91718,0.0001
ResNet-50,4,46,train,0.06976,0.92791,0.0001
ResNet-50,4,47,train,0.08507,0.92245,0.0001
ResNet-50,4,48,train,0.09411,0.94415,0.0001
ResNet-50,4,49,train,0.09538,0.93054,0.0001
ResNet-50,4,50,train,0.09253,0.93717,0.0001
ResNet-50,4,51,train,0.04722,0.93585,0.0001
ResNet-50,4,52,train,0.08008,0.93823,3e-05
ResNet-50,4,53,train,0.05142,0.93668,3e-05
ResNet-50,4,54,train,0.0602,0.93739,3e-05
ResNet-50,4,55,train,0.06908,0.93994,3e-05
ResNet-50,4,56,train,0.07541,0.93558,3e-05
ResNet-50,4,57,train,0.05886,0.92667,3e-05
ResNet-50,4,58,train,0.0676,0.94164,3e-05
ResNet-50,4,59,train,0.07248,0.93645,3e-05
ResNet-50,4,60,train,0.04016,0.95469,3e-05
ResNet-50,4,1,val,2.239,0.46851,0.001
ResNet-50,4,2,val,2.08714,0.48454,0.001
ResNet-50,4,3,val,1.92862,0.51901,0.001
ResNet-50,4,4,val,1.78155,0.54248,0.001
ResNet-50,4,5,val,1.67877,0.574,0.001
ResNet-50,4,6,val,1.50737,0.60798,0.001
ResNet-50,4,7,val,1.47273,0.612,0.001
ResNet-50,4,8,val,1.34746,0.6362,0.001
ResNet-50,4,9,val,1.25785,0.66196,0.001
ResNet-50,4,10,val,1.17372,0.69778,0.001
ResNet-50,4,11,val,1.11364,0.70427,0.001
ResNet-50,4,12,val,1.05527,0.71719,0.001
ResNet-50,4,13,val,0.94217,0.73134,0.001
ResNet-50,4,14,val,0.88414,0.74088,0.001
ResNet-50,4,15,val,0.83983,0.75192,0.001
ResNet-50,4,16,val,0.76502,0.75712,0.001
ResNet-50,4,17,val,0.75593,0.77868,0.001
ResNet-50,4,18,val,0.70292,0.78258,0.001
ResNet-50,4,19,val,0.67875,0.79296,0.001
ResNet-50,4,20,val,0.60777,0.7949,0.001
ResNet-50,4,21,val,0.54974,0.7994,0.001
ResNet-50,4,22,val,0.54362,0.81972,0.001
ResNet-50,4,23,val,0.55141,0.82631,0.001
ResNet-50,4,24,val,0.48276,0.8193,0.001
ResNet-50,4,25,val,0.47896,0.84467,0.0003
ResNet-50,4,26,val,0.44142,0.85408,0.0003
ResNet-50,4,27,val,0.42748,0.85449,0.0003
ResNet-50,4,28,val,0.40405,0.85338,0.0003
ResNet-50,4,29,val,0.38201,0.86712,0.0003
ResNet-50,4,30,val,0.37362,0.8708,0.0003
ResNet-50,4,31,val,0.3427,0.87509,0.0003
ResNet-50,4,32,val,0.31779,0.87228,0.0003
ResNet-50,4,33,val,0.3299,0.87196,0.0003
ResNet-50,4,34,val,0.27522,0.87639,0.0003
ResNet-50,4,35,val,0.26184,0.88187,0.0003
ResNet-50,4,36,val,0.28005,0.88357,0.0003
ResNet-50,4,37,val,0.25516,0.89663,0.0003
ResNet-50,4,38,val,0.25828,0.89586,0.0003
ResNet-50,4,39,val,0.23878,0.89503,0.0003
ResNet-50,4,40,val,0.25072,0.90177,0.0001
ResNet-50,4,41,val,0.23702,0.90199,0.0001
ResNet-50,4,42,val,0.23325,0.90402,0.0001
ResNet-50,4,43,val,0.22332,0.9036,0.0001
ResNet-50,4,44,val,0.17753,0.89155,0.0001
ResNet-50,4,45,val,0.20241,0.8928,0.0001
ResNet-50,4,46,val,0.1645,0.9,0.0001
ResNet-50,4,47,val,0.18574,0.89932,0.0001
ResNet-50,4,48,val,0.19448,0.91612,0.0001
ResNet-50,4,49,val,0.21374,0.89823,0.0001
ResNet-50,4,50,val,0.20627,0.91881,0.0001
ResNet-50,4,51,val,0.15382,0.91309,0.0001
ResNet-50,4,52,val,0.17659,0.9083,3e-05
ResNet-50,4,53,val,0.17319,0.90637,3e-05
ResNet-50,4,54,val,0.18679,0.91239,3e-05
ResNet-50,4,55,val,0.19881,0.91077,3e-05
ResNet-50,4,56,val,0.19406,0.90855,3e-05
ResNet-50,4,57,val,0.14389,0.90058,3e-05
ResNet-50,4,58,val,0.17656,0.918,3e-05
ResNet-50,4,59,val,0.14919,0.9141,3e-05
ResNet-50,4,60,val,0.13559,0.91932,3e-05
ViT-B/16,0,1,train,2.12718,0.44691,0.001
ViT-B/16,0,2,train,1.94283,0.50205,0.001
ViT-B/16,0,3,train,1.76805,0.54151,0.001
ViT-B/16,0,4,train,1.60399,0.5786,0.001
ViT-B/16,0,5,train,1.47593,0.59733,0.001
ViT-B/16,0,6,train,1.35723,0.62891,0.001
ViT-B/16,0,7,train,1.22379,0.65378,0.001
ViT-B/16,0,8,train,1.10285,0.68202,0.001
ViT-B/16,0,9,train,1.02343,0.70044,0.001
ViT-B/16,0,10,train,0.91521,0.73177,0.001
ViT-B/16,0,11,train,0.84394,0.73435,0.001
ViT-B/16,0,12,train,0.76328,0.73388,0.001
ViT-B/16,0,13,train,0.71871,0.76333,0.001
ViT-B/16,0,14,train,0.64792,0.77993,0.001
ViT-B/16,0,15,train,0.59298,0.80328,0.001
ViT-B/16,0,16,train,0.5497,0.80837,0.001
ViT-B/16,0,17,train,0.50659,0.82126,0.001
ViT-B/16,0,18,train,0.48275,0.84235,0.001
ViT-B/16,0,19,train,0.4256,0.84326,0.001
ViT-B/16,0,20,train,0.3915,0.85283,0.001
ViT-B/16,0,21,train,0.35164,0.84273,0.001
ViT-B/16,0,22,train,0.33993,0.86404,0.001
ViT-B/16,0,23,train,0.30278,0.85285,0.001
ViT-B/16,0,24,train,0.29184,0.8943,0.001
ViT-B/16,0,25,train,0.25832,0.90222,0.0003
ViT-B/16,0,26,train,0.25304,0.92425,0.0003
ViT-B/16,0,27,train,0.22026,0.90274,0.0003
ViT-B/16,0,28,train,0.22537,0.89451,0.0003
ViT-B/16,0,29,train,0.22202,0.94658,0.0003
ViT-B/16,0,30,train,0.17239,0.91985,0.0003
ViT-B/16,0,31,train,0.16084,0.93988,0.0003
ViT-B/16,0,32,train,0.14328,0.92524,0.0003
ViT-B/16,0,33,train,0.13394,0.93541,0.0003
ViT-B/16,0,34,train,0.12623,0.94516,0.0003
ViT-B/16,0,35,train,0.12842,0.94057,0.0003
ViT-B/16,0,36,train,0.12631,0.92341,0.0003
ViT-B/16,0,37,train,0.09155,0.93431,0.0003
ViT-B/16,0,38,train,0.13054,0.94753,0.0003
ViT-B/16,0,39,train,0.09991,0.95046,0.0003
ViT-B/16,0,40,train,0.09494,0.96677,0.0001
ViT-B/16,0,41,train,0.10208,0.96366,0.0001
ViT-B/16,0,42,train,0.09037,0.96216,0.0001
ViT-B/16,0,43,train,0.08031,0.9714,0.0001
ViT-B/16,0,44,train,0.10351,0.95873,0.0001
ViT-B/16,0,45,train,0.07336,0.99703,0.0001
ViT-B/16,0,46,train,0.0767,0.98322,0.0001
ViT-B/16,0,47,train,0.07558,0.96993,0.0001
ViT-B/16,0,48,train,0.08878,0.96222,0.0001
ViT-B/16,0,49,train,0.07355,0.98794,0.0001
ViT-B/16,0,50,train,0.06907,0.97059,0.0001
ViT-B/16,0,51,train,0.0917,0.98162,0.0001
ViT-B/16,0,52,train,0.04435,0.96518,3e-05
ViT-B/16,0,53,train,0.07112,0.96217,3e-05
ViT-B/16,0,54,train,0.05561,0.95491,3e-05
ViT-B/16,0,55,train,0.0743,0.98071,3e-05
ViT-B/16,0,56,train,0.04958,0.97685,3e-05
ViT-B/16,0,57,train,0.06969,0.97838,3e-05
ViT-B/16,0,58,train,0.0784,0.96579,3e-05
ViT-B/16,0,59,train,0.05426,0.97404,3e-05
ViT-B/16,0,60,train,0.05485,0.95871,3e-05
ViT-B/16,0,1,val,2.25124,0.45138,0.001
ViT-B/16,0,2,val,2.05879,0.49573,0.001
ViT-B/16,0,3,val,1.91763,0.52344,0.001
ViT-B/16,0,4,val,1.77097,0.5596,0.001
ViT-B/16,0,5,val,1.68191,0.5785,0.001
ViT-B/16,0,6,val,1.55711,0.6083,0.001
ViT-B/16,0,7,val,1.42159,0.62948,0.001
ViT-B/16,0,8,val,1.29476,0.6675,0.001
ViT-B/16,0,9,val,1.21056,0.68489,0.001
ViT-B/16,0,10,val,1.15783,0.70425,0.001
ViT-B/16,0,11,val,1.08074,0.71143,0.001
ViT-B/16,0,12,val,1.02078,0.71434,0.001
ViT-B/16,0,13,val,0.9392,0.74766,0.001
ViT-B/16,0,14,val,0.8519,0.7539,0.001
ViT-B/16,0,15,val,0.80063,0.76668,0.001
ViT-B/16,0,16,val,0.75293,0.77906,0.001
ViT-B/16,0,17,val,0.71027,0.78536,0.001
ViT-B/16,0,18,val,0.64917,0.80203,0.001
ViT-B/16,0,19,val,0.63845,0.81069,0.001
ViT-B/16,0,20,val,0.61956,0.81992,0.001
ViT-B/16,0,21,val,0.56748,0.81727,0.001
ViT-B/16,0,22,val,0.5108,0.82574,0.001
ViT-B/16,0,23,val,0.48575,0.8223,0.001
ViT-B/16,0,24,val,0.47886,0.85649,0.001
ViT-B/16,0,25,val,0.47051,0.86367,0.0003
ViT-B/16,0,26,val,0.38079,0.89025,0.0003
ViT-B/16,0,27,val,0.40442,0.86548,0.0003
ViT-B/16,0,28,val,0.37774,0.85768,0.0003
ViT-B/16,0,29,val,0.37792,0.90131,0.0003
ViT-B/16,0,30,val,0.32394,0.88148,0.0003
ViT-B/16,0,31,val,0.3306,0.89716,0.0003
ViT-B/16,0,32,val,0.35587,0.88302,0.0003
ViT-B/16,0,33,val,0.27646,0.89503,0.0003
ViT-B/16,0,34,val,0.26754,0.90058,0.0003
ViT-B/16,0,35,val,0.27961,0.89189,0.0003
ViT-B/16,0,36,val,0.28359,0.88501,0.0003
ViT-B/16,0,37,val,0.25334,0.89137,0.0003
ViT-B/16,0,38,val,0.248,0.90128,0.0003
ViT-B/16,0,39,val,0.25874,0.91003,0.0003
ViT-B/16,0,40,val,0.21436,0.92639,0.0001
ViT-B/16,0,41,val,0.22851,0.91719,0.0001
ViT-B/16,0,42,val,0.23001,0.91519,0.0001
ViT-B/16,0,43,val,0.2237,0.91809,0.0001
ViT-B/16,0,44,val,0.20858,0.90967,0.0001
ViT-B/16,0,45,val,0.20106,0.94935,0.0001
ViT-B/16,0,46,val,0.19382,0.93267,0.0001
ViT-B/16,0,47,val,0.20639,0.92088,0.0001
ViT-B/16,0,48,val,0.20921,0.90973,0.0001
ViT-B/16,0,49,val,0.18432,0.93695,0.0001
ViT-B/16,0,50,val,0.18422,0.918,0.0001
ViT-B/16,0,51,val,0.18929,0.93291,0.0001
ViT-B/16,0,52,val,0.18475,0.91142,3e-05
ViT-B/16,0,53,val,0.1967,0.91783,3e-05
ViT-B/16,0,54,val,0.16729,0.91358,3e-05
ViT-B/16,0,55,val,0.1684,0.91994,3e-05
ViT-B/16,0,56,val,0.19635,0.9278,3e-05
ViT-B/16,0,57,val,0.19855,0.93422,3e-05
ViT-B/16,0,58,val,0.17443,0.91946,3e-05
ViT-B/16,0,59,val,0.14687,0.92677,3e-05
ViT-B/16,0,60,val,0.17039,0.91139,3e-05
ViT-B/16,1,1,train,2.12659,0.46426,0.001
ViT-B/16,1,2,train,1.94125,0.5145,0.001
ViT-B/16,1,3,train,1.77742,0.5487,0.001
ViT-B/16,1,4,train,1.59576,0.56126,0.001
ViT-B/16,1,5,train,1.4554,0.62123,0.001
ViT-B/16,1,6,train,1.31255,0.62051,0.001
ViT-B/16,1,7,train,1.1727,0.66169,0.001
ViT-B/16,1,8,train,1.07659,0.67763,0.001
ViT-B/16,1,9,train,0.97013,0.71302,0.001
ViT-B/16,1,10,train,0.89496,0.72226,0.001
ViT-B/16,1,11,train,0.81305,0.76613,0.001
ViT-B/16,1,12,train,0.73049,0.74797,0.001
ViT-B/16,1,13,train,0.69573,0.77101,0.001
ViT-B/16,1,14,train,0.61623,0.78976,0.001
ViT-B/16,1,15,train,0.57153,0.80386,0.001
ViT-B/16,1,16,train,0.53809,0.8106,0.001
ViT-B/16,1,17,train,0.46832,0.83739,0.001
ViT-B/16,1,18,train,0.43691,0.84787,0.001
ViT-B/16,1,19,train,0.38649,0.83401,0.001
ViT-B/16,1,20,train,0.37585,0.86013,0.001
ViT-B/16,1,21,train,0.33333,0.87662,0.001
ViT-B/16,1,22,train,0.32755,0.87016,0.001
ViT-B/16,1,23,train,0.28464,0.90314,0.001
ViT-B/16,1,24,train,0.25551,0.88696,0.001
ViT-B/16,1,25,train,0.24246,0.89964,0.0003
ViT-B/16,1,26,train,0.22537,0.92126,0.0003
ViT-B/16,1,27,train,0.20176,0.907,0.0003
ViT-B/16,1,28,train,0.19236,0.90703,0.0003
ViT-B/16,1,29,train,0.18727,0.919,0.0003
ViT-B/16,1,30,train,0.15687,0.93837,0.0003
ViT-B/16,1,31,train,0.15611,0.93843,0.0003
ViT-B/16,1,32,train,0.13156,0.93571,0.0003
ViT-B/16,1,33,train,0.13449,0.95703,0.0003
ViT-B/16,1,34,train,0.1285,0.95209,0.0003
ViT-B/16,1,35,train,0.10754,0.92738,0.0003
ViT-B/16,1,36,train,0.13468,0.94305,0.0003
ViT-B/16,1,37,train,0.09748,0.95267,0.0003
ViT-B/16,1,38,train,0.08933,0.94899,0.0003
ViT-B/16,1,39,train,0.09986,0.94106,0.0003
ViT-B/16,1,40,train,0.07462,0.96433,0.0001
ViT-B/16,1,41,train,0.08602,0.97107,0.0001
ViT-B/16,1,42,train,0.08827,0.9903,0.0001
ViT-B/16,1,43,train,0.08584,0.95859,0.0001
ViT-B/16,1,44,train,0.08266,0.97482,0.0001
ViT-B/16,1,45,train,0.08034,0.9823,0.0001
ViT-B/16,1,46,train,0.07047,0.99521,0.0001
ViT-B/16,1,47,train,0.075,0.97852,0.0001
ViT-B/16,1,48,train,0.05115,0.96091,0.0001
ViT-B/16,1,49,train,0.05482,0.97103,0.0001
ViT-B/16,1,50,train,0.06316,0.96892,0.0001
ViT-B/16,1,51,train,0.05986,0.96058,0.0001
ViT-B/16,1,52,train,0.05862,0.94896,3e-05
ViT-B/16,1,53,train,0.05933,0.96477,3e-05
ViT-B/16,1,54,train,0.06171,0.97795,3e-05
ViT-B/16,1,55,train,0.05998,0.99691,3e-05
ViT-B/16,1,56,train,0.06077,0.99765,3e-05
ViT-B/16,1,57,train,0.0556,0.99222,3e-05
ViT-B/16,1,58,train,0.04101,0.96563,3e-05
ViT-B/16,1,59,train,0.04862,0.98352,3e-05
ViT-B/16,1,60,train,0.07701,0.98552,3e-05
ViT-B/16,1,1,val,2.2364,0.46538,0.001
ViT-B/16,1,2,val,2.06653,0.50346,0.001
ViT-B/16,1,3,val,1.91563,0.52895,0.001
ViT-B/16,1,4,val,1.77918,0.5583,0.001
ViT-B/16,1,5,val,1.62297,0.60615,0.001
ViT-B/16,1,6,val,1.51375,0.60895,0.001
ViT-B/16,1,7,val,1.41108,0.64959,0.001
ViT-B/16,1,8,val,1.29842,0.65855,0.001
ViT-B/16,1,9,val,1.18358,0.68656,0.001
ViT-B/16,1,10,val,1.12259,0.7017,0.001
ViT-B/16,1,11,val,1.0668,0.73069,0.001
ViT-B/16,1,12,val,0.95137,0.73081,0.001
ViT-B/16,1,13,val,0.90783,0.74597,0.001
ViT-B/16,1,14,val,0.84387,0.76276,0.001
ViT-B/16,1,15,val,0.75937,0.77775,0.001
ViT-B/16,1,16,val,0.75785,0.78102,0.001
ViT-B/16,1,17,val,0.66242,0.8047,0.001
ViT-B/16,1,18,val,0.6474,0.81875,0.001
ViT-B/16,1,19,val,0.58631,0.80436,0.001
ViT-B/16,1,20,val,0.54764,0.81787,0.001
ViT-B/16,1,21,val,0.48892,0.84251,0.001
ViT-B/16,1,22,val,0.53817,0.84661,0.001
ViT-B/16,1,23,val,0.4304,0.86188,0.001
ViT-B/16,1,24,val,0.45668,0.84816,0.001
ViT-B/16,1,25,val,0.44419,0.86371,0.0003
ViT-B/16,1,26,val,0.41063,0.8782,0.0003
ViT-B/16,1,27,val,0.40775,0.87772,0.0003
ViT-B/16,1,28,val,0.40679,0.87093,0.0003
ViT-B/16,1,29,val,0.32949,0.87592,0.0003
ViT-B/16,1,30,val,0.3005,0.89937,0.0003
ViT-B/16,1,31,val,0.27594,0.90109,0.0003
ViT-B/16,1,32,val,0.2812,0.89116,0.0003
ViT-B/16,1,33,val,0.28266,0.91396,0.0003
ViT-B/16,1,34,val,0.28028,0.90561,0.0003
ViT-B/16,1,35,val,0.29434,0.89763,0.0003
ViT-B/16,1,36,val,0.27844,0.89568,0.0003
ViT-B/16,1,37,val,0.2119,0.90574,0.0003
ViT-B/16,1,38,val,0.27062,0.9082,0.0003
ViT-B/16,1,39,val,0.26884,0.90449,0.0003
ViT-B/16,1,40,val,0.25233,0.91613,0.0001
ViT-B/16,1,41,val,0.22913,0.92149,0.0001
ViT-B/16,1,42,val,0.2172,0.93249,0.0001
ViT-B/16,1,43,val,0.20331,0.91005,0.0001
ViT-B/16,1,44,val,0.21149,0.92644,0.0001
ViT-B/16,1,45,val,0.21954,0.93728,0.0001
ViT-B/16,1,46,val,0.1586,0.94805,0.0001
ViT-B/16,1,47,val,0.18747,0.93162,0.0001
ViT-B/16,1,48,val,0.15761,0.91129,0.0001
ViT-B/16,1,49,val,0.18121,0.92824,0.0001
ViT-B/16,1,50,val,0.22914,0.91862,0.0001
ViT-B/16,1,51,val,0.19239,0.91329,0.0001
ViT-B/16,1,52,val,0.17729,0.91212,3e-05
ViT-B/16,1,53,val,0.2151,0.92103,3e-05
ViT-B/16,1,54,val,0.19361,0.93583,3e-05
ViT-B/16,1,55,val,0.17757,0.93904,3e-05
ViT-B/16,1,56,val,0.20572,0.93437,3e-05
ViT-B/16,1,57,val,0.20293,0.94703,3e-05
ViT-B/16,1,58,val,0.16231,0.92087,3e-05
ViT-B/16,1,59,val,0.16879,0.92884,3e-05
ViT-B/16,1,60,val,0.15721,0.93687,3e-05
ViT-B/16,2,1,train,2.14483,0.4612,0.001
ViT-B/16,2,2,train,1.98431,0.50354,0.001
ViT-B/16,2,3,train,1.82879,0.52466,0.001
ViT-B/16,2,4,train,1.67653,0.55861,0.001
ViT-B/16,2,5,train,1.54666,0.5991,0.001
ViT-B/16,2,6,train,1.40658,0.59835,0.001
ViT-B/16,2,7,train,1.28934,0.63341,0.001
ViT-B/16,2,8,train,1.1903,0.66207,0.001
ViT-B/16,2,9,train,1.10078,0.68628,0.001
ViT-B/16,2,10,train,1.02235,0.6774,0.001
ViT-B/16,2,11,train,0.92371,0.72677,0.001
ViT-B/16,2,12,train,0.8493,0.73812,0.001
ViT-B/16,2,13,train,0.79683,0.74533,0.001
ViT-B/16,2,14,train,0.72808,0.79224,0.001
ViT-B/16,2,15,train,0.67356,0.77654,0.001
ViT-B/16,2,16,train,0.61639,0.80123,0.001
ViT-B/16,2,17,train,0.5533,0.81316,0.001
ViT-B/16,2,18,train,0.53401,0.85281,0.001
ViT-B/16,2,19,train,0.48144,0.84201,0.001
ViT-B/16,2,20,train,0.4784,0.84479,0.001
ViT-B/16,2,21,train,0.42958,0.84943,0.001
ViT-B/16,2,22,train,0.41474,0.85251,0.001
ViT-B/16,2,23,train,0.37795,0.86251,0.001
ViT-B/16,2,24,train,0.34253,0.86859,0.001
ViT-B/16,2,25,train,0.3224,0.88521,0.0003
ViT-B/16,2,26,train,0.2848,0.87645,0.0003
ViT-B/16,2,27,train,0.27373,0.92078,0.0003
ViT-B/16,2,28,train,0.24138,0.91452,0.0003
ViT-B/16,2,29,train,0.2533,0.89019,0.0003
ViT-B/16,2,30,train,0.21245,0.93569,0.0003
ViT-B/16,2,31,train,0.23557,0.92383,0.0003
ViT-B/16,2,32,train,0.17251,0.90827,0.0003
ViT-B/16,2,33,train,0.17511,0.93368,0.0003
ViT-B/16,2,34,train,0.16866,0.91949,0.0003
ViT-B/16,2,35,train,0.17976,0.93906,0.0003
ViT-B/16,2,36,train,0.13525,0.94144,0.0003
ViT-B/16,2,37,train,0.15921,0.95088,0.0003
ViT-B/16,2,38,train,0.12346,0.94999,0.0003
ViT-B/16,2,39,train,0.1202,0.93942,0.0003
ViT-B/16,2,40,train,0.13496,0.94008,0.0001
ViT-B/16,2,41,train,0.11067,0.96746,0.0001
ViT-B/16,2,42,train,0.11104,0.94664,0.0001
ViT-B/16,2,43,train,0.1021,0.9643,0.0001
ViT-B/16,2,44,train,0.08844,0.95221,0.0001
ViT-B/16,2,45,train,0.10321,0.95445,0.0001
ViT-B/16,2,46,train,0.06553,0.95956,0.0001
ViT-B/16,2,47,train,0.09859,0.97491,0.0001
ViT-B/16,2,48,train,0.07687,0.97868,0.0001
ViT-B/16,2,49,train,0.09932,0.99472,0.0001
ViT-B/16,2,50,train,0.09575,0.97038,0.0001
ViT-B/16,2,51,train,0.08797,0.97949,0.0001
ViT-B/16,2,52,train,0.08288,0.96389,3e-05
ViT-B/16,2,53,train,0.07444,0.97818,3e-05
ViT-B/16,2,54,train,0.07323,0.95138,3e-05
ViT-B/16,2,55,train,0.06645,0.98219,3e-05
ViT-B/16,2,56,train,0.06292,0.9815,3e-05
ViT-B/16,2,57,train,0.058,0.96817,3e-05
ViT-B/16,2,58,train,0.04431,0.98753,3e-05
ViT-B/16,2,59,train,0.0844,0.9995,3e-05
ViT-B/16,2,60,train,0.06741,0.98813,3e-05
ViT-B/16,2,1,val,2.23352,0.45997,0.001
ViT-B/16,2,2,val,2.08853,0.49651,0.001
ViT-B/16,2,3,val,1.9778,0.51588,0.001
ViT-B/16,2,4,val,1.82255,0.54833,0.001
ViT-B/16,2,5,val,1.73131,0.57792,0.001
ViT-B/16,2,6,val,1.62094,0.59682,0.001
ViT-B/16,2,7,val,1.50303,0.6199,0.001
ViT-B/16,2,8,val,1.40035,0.63986,0.001
ViT-B/16,2,9,val,1.35868,0.66271,0.001
ViT-B/16,2,10,val,1.20348,0.65943,0.001
ViT-B/16,2,11,val,1.17545,0.69811,0.001
ViT-B/16,2,12,val,1.0774,0.71404,0.001
ViT-B/16,2,13,val,1.02765,0.72105,0.001
ViT-B/16,2,14,val,0.97891,0.76634,0.001
ViT-B/16,2,15,val,0.88009,0.7515,0.001
ViT-B/16,2,16,val,0.83225,0.77648,0.001
ViT-B/16,2,17,val,0.79255,0.78658,0.001
ViT-B/16,2,18,val,0.75569,0.81275,0.001
ViT-B/16,2,19,val,0.70432,0.80442,0.001
ViT-B/16,2,20,val,0.66783,0.81814,0.001
ViT-B/16,2,21,val,0.62459,0.81479,0.001
ViT-B/16,2,22,val,0.62614,0.8213,0.001
ViT-B/16,2,23,val,0.55281,0.82871,0.001
ViT-B/16,2,24,val,0.55012,0.8313,0.001
ViT-B/16,2,25,val,0.48715,0.84773,0.0003
ViT-B/16,2,26,val,0.48717,0.85333,0.0003
ViT-B/16,2,27,val,0.47574,0.87433,0.0003
ViT-B/16,2,28,val,0.45651,0.87146,0.0003
ViT-B/16,2,29,val,0.42438,0.84863,0.0003
ViT-B/16,2,30,val,0.42769,0.89272,0.0003
ViT-B/16,2,31,val,0.39658,0.87951,0.0003
ViT-B/16,2,32,val,0.3727,0.86544,0.0003
ViT-B/16,2,33,val,0.33505,0.88236,0.0003
ViT-B/16,2,34,val,0.3309,0.8772,0.0003
ViT-B/16,2,35,val,0.33328,0.89237,0.0003
ViT-B/16,2,36,val,0.27619,0.89584,0.0003
ViT-B/16,2,37,val,0.28942,0.9098,0.0003
ViT-B/16,2,38,val,0.32434,0.90889,0.0003
ViT-B/16,2,39,val,0.28478,0.89882,0.0003
ViT-B/16,2,40,val,0.23767,0.90514,0.0001
ViT-B/16,2,41,val,0.29449,0.92275,0.0001
ViT-B/16,2,42,val,0.26999,0.90583,0.0001
ViT-B/16,2,43,val,0.22717,0.91602,0.0001
ViT-B/16,2,44,val,0.22854,0.89631,0.0001
ViT-B/16,2,45,val,0.19214,0.90931,0.0001
ViT-B/16,2,46,val,0.25129,0.91155,0.0001
ViT-B/16,2,47,val,0.25759,0.92896,0.0001
ViT-B/16,2,48,val,0.22119,0.93138,0.0001
ViT-B/16,2,49,val,0.21657,0.93532,0.0001
ViT-B/16,2,50,val,0.2488,0.92462,0.0001
ViT-B/16,2,51,val,0.21431,0.93202,0.0001
ViT-B/16,2,52,val,0.22867,0.92324,3e-05
ViT-B/16,2,53,val,0.20113,0.92046,3e-05
ViT-B/16,2,54,val,0.20103,0.90859,3e-05
ViT-B/16,2,55,val,0.17009,0.93294,3e-05
ViT-B/16,2,56,val,0.21295,0.92859,3e-05
ViT-B/16,2,57,val,0.19451,0.92378,3e-05
ViT-B/16,2,58,val,0.16806,0.94021,3e-05
ViT-B/16,2,59,val,0.20383,0.94186,3e-05
ViT-B/16,2,60,val,0.18364,0.93698,3e-05
ViT-B/16,3,1,train,2.17767,0.45432,0.001
ViT-B/16,3,2,train,2.02747,0.49888,0.001
ViT-B/16,3,3,train,1.86085,0.51749,0.001
ViT-B/16,3,4,train,1.74939,0.55348,0.001
ViT-B/16,3,5,train,1.59649,0.57906,0.001
ViT-B/16,3,6,train,1.48797,0.60713,0.001
ViT-B/16,3,7,train,1.36038,0.63285,0.001
ViT-B/16,3,8,train,1.26859,0.6501,0.001
ViT-B/16,3,9,train,1.19084,0.64935,0.001
ViT-B/16,3,10,train,1.08242,0.6905,0.001
ViT-B/16,3,11,train,1.02283,0.70233,0.001
ViT-B/16,3,12,train,0.94225,0.71545,0.001
ViT-B/16,3,13,train,0.8776,0.74868,0.001
ViT-B/16,3,14,train,0.80445,0.77196,0.001
ViT-B/16,3,15,train,0.73729,0.7717,0.001
ViT-B/16,3,16,train,0.71062,0.80148,0.001
ViT-B/16,3,17,train,0.65625,0.80216,0.001
ViT-B/16,3,18,train,0.62234,0.80958,0.001
ViT-B/16,3,19,train,0.55912,0.82021,0.001
ViT-B/16,3,20,train,0.5214,0.83125,0.001
ViT-B/16,3,21,train,0.50128,0.82516,0.001
ViT-B/16,3,22,train,0.44985,0.85583,0.001
ViT-B/16,3,23,train,0.4225,0.87034,0.001
ViT-B/16,3,24,train,0.36885,0.87843,0.001
ViT-B/16,3,25,train,0.40043,0.87448,0.0003
ViT-B/16,3,26,train,0.34684,0.89553,0.0003
ViT-B/16,3,27,train,0.31208,0.91928,0.0003
ViT-B/16,3,28,train,0.28889,0.90729,0.0003
ViT-B/16,3,29,train,0.29753,0.91238,0.0003
ViT-B/16,3,30,train,0.2445,0.92157,0.0003
ViT-B/16,3,31,train,0.27149,0.92155,0.0003
ViT-B/16,3,32,train,0.2333,0.9208,0.0003
ViT-B/16,3,33,train,0.23964,0.93563,0.0003
ViT-B/16,3,34,train,0.20184,0.93269,0.0003
ViT-B/16,3,35,train,0.17651,0.9265,0.0003
ViT-B/16,3,36,train,0.19013,0.92502,0.0003
ViT-B/16,3,37,train,0.18828,0.93797,0.0003
ViT-B/16,3,38,train,0.1607,0.96485,0.0003
