case_id,model,structure,dice,hd95,assd
CT030,Attention U-Net,Spleen,0.91697,3.9773,0.9048
CT030,Attention U-Net,Kidney L,0.84432,4.2637,0.8225
CT030,Attention U-Net,Kidney R,0.89004,4.1104,0.8159
CT030,Attention U-Net,Tumour,0.64737,11.3245,2.9153
CT030,nnU-Net,Liver,0.93577,3.1784,0.652
CT030,nnU-Net,Spleen,0.92428,3.7744,0.7178
CT030,nnU-Net,Kidney L,0.94005,2.8155,0.8581
CT030,nnU-Net,Kidney R,0.91968,7.0861,1.853
CT030,nnU-Net,Tumour,0.78203,23.5344,5.0031
CT031,U-Net,Liver,0.9457,2.7383,0.8217
CT031,U-Net,Spleen,0.92656,3.252,0.8169
CT031,U-Net,Kidney L,0.91803,5.7263,1.4746
CT031,U-Net,Kidney R,0.88376,3.4299,0.9286
CT031,U-Net,Tumour,0.87361,12.8132,3.4401
CT031,Attention U-Net,Liver,0.96111,2.1865,0.568
CT031,Attention U-Net,Spleen,0.95101,2.896,0.8633
CT031,Attention U-Net,Kidney L,0.95645,6.3957,1.6454
CT031,Attention U-Net,Kidney R,0.91206,4.8062,1.0788
CT031,Attention U-Net,Tumour,0.67259,17.6918,4.4958
CT031,nnU-Net,Liver,0.999,1.6918,0.3532
CT031,nnU-Net,Spleen,0.95626,2.1606,0.7059
CT031,nnU-Net,Kidney L,0.9827,6.8661,1.2461
CT031,nnU-Net,Kidney R,0.89464,4.6062,0.9648
CT031,nnU-Net,Tumour,0.79951,8.6883,1.8893
CT032,U-Net,Liver,0.94502,2.7067,0.7761
CT032,U-Net,Spleen,0.89958,2.206,0.4527
CT032,U-Net,Kidney L,0.88424,6.5006,1.5148
CT032,U-Net,Kidney R,0.90207,3.1929,0.6665
CT032,U-Net,Tumour,0.64836,15.0315,3.5268
CT032,Attention U-Net,Liver,0.99392,5.7518,1.4003
CT032,Attention U-Net,Spleen,0.91672,3.7746,0.9159
CT032,Attention U-Net,Kidney L,0.92332,5.2747,0.9168
CT032,Attention U-Net,Kidney R,0.95603,3.9591,1.1592
CT032,Attention U-Net,Tumour,0.96239,10.5283,2.2498
CT032,nnU-Net,Liver,0.94421,2.3187,0.4713
CT032,nnU-Net,Spleen,0.94925,2.695,0.7207
CT032,nnU-Net,Kidney L,0.92824,3.1301,0.7917
CT032,nnU-Net,Kidney R,0.95256,5.3679,1.287
CT032,nnU-Net,Tumour,0.71753,23.6505,6.9491
CT033,U-Net,Liver,0.92856,2.1957,0.654
CT033,U-Net,Spleen,0.94688,2.8002,0.6541
CT033,U-Net,Kidney L,0.92478,3.1891,0.791
CT033,U-Net,Kidney R,0.89282,4.9027,1.1384
CT033,U-Net,Tumour,0.54088,21.2117,5.2778
CT033,Attention U-Net,Liver,0.9242,3.6445,1.0311
CT033,Attention U-Net,Spleen,0.92923,6.6491,1.5951
CT033,Attention U-Net,Kidney L,0.90904,3.986,0.7697
CT033,Attention U-Net,Kidney R,0.8937,5.7113,1.5109
CT033,Attention U-Net,Tumour,0.72895,22.7286,5.4663
CT033,nnU-Net,Liver,0.96753,1.3344,0.2563
CT033,nnU-Net,Spleen,0.91518,2.4961,0.7644
CT033,nnU-Net,Kidney L,0.94965,4.0277,1.0363
CT033,nnU-Net,Kidney R,0.92198,5.4486,1.0533
CT033,nnU-Net,Tumour,0.88854,11.3077,3.163
CT034,U-Net,Liver,0.89272,2.493,0.5615
CT034,U-Net,Spleen,0.85775,3.7312,0.8233
CT034,U-Net,Kidney L,0.87701,3.6097,0.9724
CT034,U-Net,Kidney R,0.83083,4.6475,1.0998
CT034,U-Net,Tumour,0.61352,26.6754,5.461
CT034,Attention U-Net,Liver,0.92958,2.1991,0.449
CT034,Attention U-Net,Spleen,0.86053,4.4017,1.0465
CT034,Attention U-Net,Kidney L,0.93701,3.5566,0.9154
CT034,Attention U-Net,Kidney R,0.90946,4.7285,1.3388
CT034,Attention U-Net,Tumour,0.72245,15.8791,3.2742
CT034,nnU-Net,Liver,0.96303,2.1747,0.6083
CT034,nnU-Net,Spleen,0.94998,2.6968,0.6834
CT034,nnU-Net,Kidney L,0.84034,3.0468,0.7272
CT034,nnU-Net,Kidney R,0.87123,4.9052,1.1431
CT034,nnU-Net,Tumour,0.7874,12.2846,2.6439
CT035,U-Net,Liver,0.91898,2.3654,0.525
CT035,U-Net,Spleen,0.94651,2.0377,0.5113
CT035,U-Net,Kidney L,0.93054,4.3572,0.8919
CT035,U-Net,Kidney R,0.88908,3.3634,0.979
CT035,U-Net,Tumour,0.50503,19.9355,4.6323
CT035,Attention U-Net,Liver,0.97008,3.9347,1.0793
CT035,Attention U-Net,Spleen,0.94009,2.2139,0.4314
CT035,Attention U-Net,Kidney L,0.9369,2.4768,0.6649
CT035,Attention U-Net,Kidney R,0.96668,3.3003,0.5914
CT035,Attention U-Net,Tumour,0.68292,17.6402,4.0936
CT035,nnU-Net,Liver,0.99193,2.0843,0.5108
CT035,nnU-Net,Spleen,0.92635,2.4093,0.603
CT035,nnU-Net,Kidney L,0.86808,4.9622,1.0319
CT035,nnU-Net,Kidney R,0.97967,4.3151,0.9587
CT035,nnU-Net,Tumour,0.67485,18.2534,4.5309
CT036,U-Net,Liver,0.95664,2.7636,0.6087
CT036,U-Net,Spleen,0.96274,2.4931,0.5291
CT036,U-Net,Kidney L,0.94432,3.6613,0.7708
CT036,U-Net,Kidney R,0.8865,4.7838,1.2857
CT036,U-Net,Tumour,0.63121,14.3105,3.3125
CT036,Attention U-Net,Liver,0.94904,2.1228,0.4919
CT036,Attention U-Net,Spleen,0.94482,2.6432,0.7539
CT036,Attention U-Net,Kidney L,0.8525,6.7375,1.3802
CT036,Attention U-Net,Kidney R,0.90185,2.8946,0.7644
CT036,Attention U-Net,Tumour,0.53367,17.5316,5.3122
CT036,nnU-Net,Liver,0.999,2.8112,0.5931
CT036,nnU-Net,Spleen,0.92554,3.6484,0.7912
CT036,nnU-Net,Kidney L,0.92656,4.1001,0.9483
CT036,nnU-Net,Kidney R,0.95432,4.7713,1.171
CT036,nnU-Net,Tumour,0.81948,13.068,2.6778
CT037,U-Net,Liver,0.93674,2.3822,0.6817
CT037,U-Net,Spleen,0.87527,3.8857,0.7847
CT037,U-Net,Kidney L,0.9559,4.2074,0.8295
CT037,U-Net,Kidney R,0.89221,4.916,1.3611
CT037,U-Net,Tumour,0.73506,16.4208,3.2674
CT037,Attention U-Net,Liver,0.97308,2.9279,0.9959
CT037,Attention U-Net,Spleen,0.99851,2.2567,0.6415
CT037,Attention U-Net,Kidney L,0.97976,4.0233,0.8412
CT037,Attention U-Net,Kidney R,0.98218,3.5975,0.9754
CT037,Attention U-Net,Tumour,0.57269,11.6653,2.789
CT037,nnU-Net,Liver,0.96356,3.3828,0.8349
CT037,nnU-Net,Spleen,0.999,2.8685,0.7536
CT037,nnU-Net,Kidney L,0.96755,2.1575,0.507
CT037,nnU-Net,Kidney R,0.97318,4.4726,1.1722
CT037,nnU-Net,Tumour,0.69645,15.4082,3.1814
CT038,U-Net,Liver,0.88812,2.0934,0.4369
CT038,U-Net,Spleen,0.84871,2.5619,0.6887
CT038,U-Net,Kidney L,0.95279,4.31,0.986
CT038,U-Net,Kidney R,0.85095,4.1462,1.0759
CT038,U-Net,Tumour,0.80724,11.6688,2.5844
CT038,Attention U-Net,Liver,0.905,3.2793,0.8545
CT038,Attention U-Net,Spleen,0.94406,2.0343,0.4017
CT038,Attention U-Net,Kidney L,0.85545,5.4156,0.9154
CT038,Attention U-Net,Kidney R,0.85284,5.7534,1.2938
CT038,Attention U-Net,Tumour,0.62149,16.121,4.6172
CT038,nnU-Net,Liver,0.9483,2.7495,0.8107
CT038,nnU-Net,Spleen,0.95051,3.8462,0.8487
CT038,nnU-Net,Kidney L,0.89041,3.671,0.7348
CT038,nnU-Net,Kidney R,0.8569,6.284,1.7219
CT038,nnU-Net,Tumour,0.70858,13.8428,3.2624
CT039,U-Net,Liver,0.92559,2.3344,0.4334
CT039,U-Net,Spleen,0.90835,3.1369,0.9931
CT039,U-Net,Kidney L,0.95417,5.2631,1.6318
CT039,U-Net,Kidney R,0.85686,4.4362,1.1859
CT039,U-Net,Tumour,0.70103,13.7843,2.9397
CT039,Attention U-Net,Liver,0.99553,2.7308,0.6823
CT039,Attention U-Net,Spleen,0.92,4.5117,1.2619
CT039,Attention U-Net,Kidney L,0.98411,5.4079,1.2672
CT039,Attention U-Net,Kidney R,0.95034,4.32,1.0245
CT039,Attention U-Net,Tumour,0.74369,15.6968,3.576
CT039,nnU-Net,Liver,0.96704,2.2199,0.5883
CT039,nnU-Net,Spleen,0.96669,3.6377,0.7245
CT039,nnU-Net,Kidney L,0.93036,3.9999,0.8763
CT039,nnU-Net,Kidney R,0.88886,6.2044,1.3489
CT039,nnU-Net,Tumour,0.78195,16.4297,4.0399
